ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100015261
ax: 0.18396744   ay: 0.49651748    az: 9.78081 time: 100320465
ax: 0.19893631   ay: 0.49666718    az: 9.816137 time: 119548298
ax: 0.19848724   ay: 0.49681687    az: 9.787697 time: 100076300
ax: 0.19893631   ay: 0.49666718    az: 9.795929 time: 119670380
ax: 0.19175126   ay: 0.49681687    az: 9.781409 time: 119945064
ax: 0.17887802   ay: 0.49666718    az: 9.78096 time: 119914542
ax: 0.19893631   ay: 0.49666718    az: 9.783805 time: 100137342
ax: 0.199086   ay: 0.49651748    az: 9.795929 time: 119975584
ax: 0.19848724   ay: 0.49606842    az: 9.78096 time: 100015259
ax: 0.19848724   ay: 0.49681687    az: 9.812245 time: 119975584
ax: 0.1965413   ay: 0.49651748    az: 9.78096 time: 119639860
ax: 0.18785934   ay: 0.49666718    az: 9.781409 time: 100045781
ax: 0.199086   ay: 0.49651748    az: 9.784852 time: 121410040
ax: 0.18755996   ay: 0.49666718    az: 9.78096 time: 118327484
ax: 0.19489472   ay: 0.46343628    az: 9.78081 time: 121440562
ax: 0.17468673   ay: 0.49666718    az: 9.78096 time: 118266444
ax: 0.19728974   ay: 0.4670288    az: 9.78111 time: 100015259
ax: 0.199086   ay: 0.49651748    az: 9.795929 time: 100228903
ax: 0.19893631   ay: 0.49666718    az: 9.783805 time: 119945064
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100198382
ax: 0.19893631   ay: 0.4815486    az: 9.799072 time: 119517778
ax: 0.19878662   ay: 0.4963678    az: 9.818981 time: 119945063
ax: 0.19893631   ay: 0.49412248    az: 9.804162 time: 119975583
ax: 0.19878662   ay: 0.4670288    az: 9.81943 time: 120006105
ax: 0.19893631   ay: 0.48139894    az: 9.819131 time: 119884022
ax: 0.19893631   ay: 0.49397278    az: 9.819281 time: 100076301
ax: 0.1978885   ay: 0.49651748    az: 9.801168 time: 120341828
ax: 0.19893631   ay: 0.4725673    az: 9.783805 time: 119517779
ax: 0.19878662   ay: 0.49666718    az: 9.788145 time: 100076301
ax: 0.19893631   ay: 0.4815486    az: 9.804012 time: 120036624
ax: 0.19878662   ay: 0.49681687    az: 9.789642 time: 119670380
ax: 0.19893631   ay: 0.49651748    az: 9.796228 time: 100259424
ax: 0.18755996   ay: 0.4724176    az: 9.78096 time: 119639859
ax: 0.16914825   ay: 0.49681687    az: 9.781409 time: 100076300
ax: 0.19893631   ay: 0.4764592    az: 9.801019 time: 120219747
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 120494430
ax: 0.1965413   ay: 0.49651748    az: 9.78096 time: 118998932
ax: 0.19878662   ay: 0.49666718    az: 9.78096 time: 100289943
ax: 0.19878662   ay: 0.49651748    az: 9.78081 time: 119853503
ax: 0.19609222   ay: 0.4963678    az: 9.78096 time: 119700901
ax: 0.19878662   ay: 0.4948709    az: 9.787697 time: 100015259
ax: 0.19878662   ay: 0.48124924    az: 9.78096 time: 101113994
ax: 0.19878662   ay: 0.4963678    az: 9.78096 time: 119243094
ax: 0.199086   ay: 0.49651748    az: 9.78081 time: 119365176
ax: 0.19893631   ay: 0.4764592    az: 9.78096 time: 100198384
ax: 0.19878662   ay: 0.49666718    az: 9.78111 time: 120006102
ax: 0.19893631   ay: 0.4763095    az: 9.78096 time: 119792464
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 100076300
ax: 0.19878662   ay: 0.4815486    az: 9.784852 time: 119853502
ax: 0.19848724   ay: 0.49666718    az: 9.783805 time: 120280788
ax: 0.18097366   ay: 0.47750703    az: 9.78081 time: 119487257
ax: 0.19893631   ay: 0.49606842    az: 9.78096 time: 100106823
ax: 0.19893631   ay: 0.4725673    az: 9.78096 time: 100747747
ax: 0.19878662   ay: 0.46553192    az: 9.78111 time: 101510759
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 117198230
ax: 0.19878662   ay: 0.4670288    az: 9.78111 time: 119914542
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100015260
ax: 0.19818787   ay: 0.49666718    az: 9.78096 time: 119914544
ax: 0.19878662   ay: 0.49666718    az: 9.814191 time: 119914543
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 100015260
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 100656188
ax: 0.19878662   ay: 0.4950206    az: 9.782607 time: 100564627
ax: 0.19444565   ay: 0.49666718    az: 9.801019 time: 118907371
ax: 0.19878662   ay: 0.49651748    az: 9.817485 time: 121806805
ax: 0.19863693   ay: 0.46373567    az: 9.782158 time: 103860827
ax: 0.19833755   ay: 0.45894563    az: 9.819131 time: 104043949
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 110453228
ax: 0.19878662   ay: 0.49681687    az: 9.782907 time: 109476576
ax: 0.19833755   ay: 0.45894563    az: 9.819131 time: 100564627
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 109751260
ax: 0.19699036   ay: 0.49681687    az: 9.782907 time: 109537615
ax: 0.19878662   ay: 0.49681687    az: 9.781559 time: 102060125
ax: 0.19878662   ay: 0.49651748    az: 9.781559 time: 107797955
ax: 0.19878662   ay: 0.49681687    az: 9.78126 time: 101144515
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 108805127
ax: 0.1992357   ay: 0.4963678    az: 9.818981 time: 100137341
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 109751259
ax: 0.19878662   ay: 0.49681687    az: 9.819131 time: 109934381
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 100167862
ax: 0.19878662   ay: 0.45864624    az: 9.81943 time: 110666871
ax: 0.19878662   ay: 0.49681687    az: 9.819131 time: 108957730
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 100106820
ax: 0.16226257   ay: 0.46029282    az: 9.78111 time: 100198382
ax: 0.1992357   ay: 0.48828462    az: 9.788894 time: 109781780
ax: 0.19878662   ay: 0.46029282    az: 9.78111 time: 100045780
ax: 0.19714004   ay: 0.49681687    az: 9.78111 time: 109995423
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 109690218
ax: 0.19878662   ay: 0.4950206    az: 9.78111 time: 101175034
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 109079811
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100595148
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 108927207
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100473067
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 109446055
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 109934381
ax: 0.19699036   ay: 0.46029282    az: 9.782757 time: 109995422
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 101571800
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 108164199
ax: 0.19878662   ay: 0.49681687    az: 9.78605 time: 119975583
ax: 0.19444565   ay: 0.49651748    az: 9.799072 time: 100564628
ax: 0.19878662   ay: 0.4670288    az: 9.812695 time: 119304135
ax: 0.1977388   ay: 0.49666718    az: 9.81943 time: 100198383
ax: 0.19893631   ay: 0.48289582    az: 9.816287 time: 120006103
ax: 0.19878662   ay: 0.48858398    az: 9.781559 time: 100015260
ax: 0.19893631   ay: 0.49666718    az: 9.818682 time: 119945064
ax: 0.19878662   ay: 0.49531996    az: 9.812695 time: 122112009
ax: 0.19893631   ay: 0.49606842    az: 9.801168 time: 117900199
ax: 0.19878662   ay: 0.49008086    az: 9.789642 time: 119853502
ax: 0.19893631   ay: 0.47855484    az: 9.818981 time: 119700900
ax: 0.19833755   ay: 0.49666718    az: 9.816886 time: 101877004
ax: 0.19863693   ay: 0.49681687    az: 9.81943 time: 117961239
ax: 0.18396744   ay: 0.49142808    az: 9.819131 time: 100137341
ax: 0.19878662   ay: 0.4897815    az: 9.812395 time: 121654205
ax: 0.18097366   ay: 0.49666718    az: 9.7859 time: 118205401
ax: 0.17229171   ay: 0.49666718    az: 9.794433 time: 100167862
ax: 0.19878662   ay: 0.49681687    az: 9.814191 time: 119914543
ax: 0.19893631   ay: 0.49666718    az: 9.818682 time: 120524950
ax: 0.19474502   ay: 0.49681687    az: 9.819281 time: 119609341
ax: 0.19893631   ay: 0.49412248    az: 9.805809 time: 119761940
ax: 0.19878662   ay: 0.49651748    az: 9.78111 time: 101602319
ax: 0.18336868   ay: 0.4815486    az: 9.781559 time: 118144362
ax: 0.19878662   ay: 0.4936734    az: 9.818682 time: 100167862
ax: 0.19878662   ay: 0.49666718    az: 9.815089 time: 119884022
ax: 0.19893631   ay: 0.49666718    az: 9.794433 time: 120006105
ax: 0.16241226   ay: 0.49008086    az: 9.782607 time: 101175034
ax: 0.19444565   ay: 0.48139894    az: 9.796528 time: 119059973
ax: 0.19878662   ay: 0.49681687    az: 9.810748 time: 119151533
ax: 0.19878662   ay: 0.49576905    az: 9.78111 time: 102517932
ax: 0.18785934   ay: 0.4857399    az: 9.78096 time: 117656034
ax: 0.19878662   ay: 0.49531996    az: 9.810748 time: 100076303
ax: 0.19893631   ay: 0.49666718    az: 9.7989235 time: 119853500
ax: 0.19878662   ay: 0.49666718    az: 9.78111 time: 119578819
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100289945
ax: 0.18097366   ay: 0.49651748    az: 9.78096 time: 100015259
ax: 0.19728974   ay: 0.49681687    az: 9.78111 time: 119639859
ax: 0.19893631   ay: 0.49606842    az: 9.78096 time: 123058142
ax: 0.16480727   ay: 0.49681687    az: 9.78111 time: 138379368
ax: 0.19893631   ay: 0.48514116    az: 9.78096 time: 118571648
ax: 0.19878662   ay: 0.49651748    az: 9.782907 time: 100259422
ax: 0.1978885   ay: 0.49681687    az: 9.782008 time: 100869830
ax: 0.19878662   ay: 0.49666718    az: 9.792037 time: 119609340
ax: 0.19878662   ay: 0.46373567    az: 9.814341 time: 119914542
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 119639859
ax: 0.19878662   ay: 0.46029282    az: 9.78111 time: 109079812
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100045781
ax: 0.19878662   ay: 0.49681687    az: 9.781559 time: 102456889
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 107309629
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100747750
ax: 0.19878662   ay: 0.49681687    az: 9.781559 time: 114665039
ax: 0.19878662   ay: 0.45894563    az: 9.78111 time: 104990080
ax: 0.19878662   ay: 0.46029282    az: 9.817635 time: 109812300
ax: 0.1607657   ay: 0.49681687    az: 9.78111 time: 100015260
ax: 0.1992357   ay: 0.48828462    az: 9.78081 time: 100015261
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 111033115
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 108713565
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 100350985
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 112864336
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 106516100
ax: 0.1992357   ay: 0.4963678    az: 9.788894 time: 101877003
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 108011598
ax: 0.1992357   ay: 0.4963678    az: 9.788894 time: 100015259
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100167863
ax: 0.19714004   ay: 0.46029282    az: 9.78111 time: 109720738
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 110117503
ax: 0.1992357   ay: 0.46628037    az: 9.780661 time: 109720739
ax: 0.16046631   ay: 0.49681687    az: 9.78111 time: 112803297
ax: 0.1992357   ay: 0.4963678    az: 9.78081 time: 101815961
ax: 0.1992357   ay: 0.48828462    az: 9.780661 time: 105051122
ax: 0.19863693   ay: 0.49681687    az: 9.78111 time: 109934381
ax: 0.19833755   ay: 0.49681687    az: 9.78111 time: 109964901
ax: 0.1992357   ay: 0.4963678    az: 9.780661 time: 100350985
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 112803297
ax: 0.1992357   ay: 0.4963678    az: 9.788894 time: 101785442
ax: 0.1910028   ay: 0.4963678    az: 9.818981 time: 105966732
ax: 0.19878662   ay: 0.4670288    az: 9.789642 time: 172318023
ax: 0.19893631   ay: 0.49666718    az: 9.81464 time: 121257440
ax: 0.19728974   ay: 0.49651748    az: 9.817933 time: 115214404
ax: 0.19848724   ay: 0.49666718    az: 9.818682 time: 120952236
ax: 0.19878662   ay: 0.49681687    az: 9.819131 time: 121501601
ax: 0.19893631   ay: 0.49666718    az: 9.819131 time: 118266445
ax: 0.19848724   ay: 0.49666718    az: 9.817933 time: 123790629
ax: 0.19893631   ay: 0.49666718    az: 9.799072 time: 115214406
ax: 0.17468673   ay: 0.49666718    az: 9.819281 time: 100412025
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 100228903
ax: 0.16480727   ay: 0.49681687    az: 9.81943 time: 102731573
ax: 0.19893631   ay: 0.49666718    az: 9.819281 time: 117015108
ax: 0.16914825   ay: 0.4963678    az: 9.81943 time: 100015260
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 100015260
ax: 0.19893631   ay: 0.49666718    az: 9.819281 time: 121135358
ax: 0.1978885   ay: 0.49681687    az: 9.815389 time: 118388524
ax: 0.19848724   ay: 0.49202684    az: 9.804162 time: 100106821
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 119700900
ax: 0.19444565   ay: 0.47855484    az: 9.819281 time: 120097666
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 119639860
ax: 0.19878662   ay: 0.49591872    az: 9.818532 time: 100045780
ax: 0.19893631   ay: 0.4725673    az: 9.816886 time: 120677552
ax: 0.19728974   ay: 0.49008086    az: 9.81943 time: 100717229
ax: 0.19893631   ay: 0.49666718    az: 9.796079 time: 118632687
ax: 0.19878662   ay: 0.49666718    az: 9.807605 time: 100045781
ax: 0.19878662   ay: 0.49681687    az: 9.782158 time: 119548298
ax: 0.19893631   ay: 0.49651748    az: 9.799521 time: 100045781
ax: 0.19878662   ay: 0.49681687    az: 9.812245 time: 120067145
ax: 0.19878662   ay: 0.49681687    az: 9.78126 time: 100350984
