Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Imid
0.298065186,0.64131206,0.7672778,-0.0018747629,-0.7672682,0.6412865,-0.007153801,-0.004286693,0.0060262657,0.9999727,0.8088928,0.5879559,-5.582997E-4,-0.58794916,0.8088781,-0.0056534153,-0.0028723625,0.0049012587,0.99998385,0.01914978,0.0,10.175354,-0.042037964,0.05909729,9.806351,-0.0095825195,0.008514404,-0.0032043457,-22.853088,19.05365,-19.47937,0
0.302490234,0.6413111,0.76727855,-0.0018728118,-0.767269,0.6412857,-0.007131883,-0.0042711343,0.0060107075,0.9999729,0.8059758,0.5919483,-5.8669643E-4,-0.5919414,0.80596083,-0.005706945,-0.002905362,0.0049469494,0.99998355,-0.01914978,0.0,9.835373,-0.041885376,0.058944702,9.806351,0.0053253174,0.0010528564,-0.0053253174,-22.853088,19.05365,-19.47937,0
0.306945801,0.6413102,0.7672794,-0.0018710565,-0.76726985,0.6412849,-0.0071121566,-0.004257131,0.005996704,0.99997294,0.8031173,0.59582067,-5.855686E-4,-0.5958137,0.80310225,-0.0057344926,-0.0029464578,0.00495436,0.9999834,0.009567261,0.03829956,9.897629,-0.041748047,0.058807373,9.806351,-0.0032043457,0.003189087,0.0021209717,-22.853088,19.05365,-19.47937,0
0.311401367,0.6394586,0.76882315,-0.0018900092,-0.76881367,0.6394332,-0.0071273455,-0.0042711343,0.0060107075,0.9999729,0.8003231,0.5995686,-6.0045323E-4,-0.5995614,0.80030763,-0.0058133206,-0.0030049372,0.0050125434,0.9999829,-0.06703186,0.08139038,10.046066,-0.041885376,0.058944702,9.806351,0.008514404,0.007446289,0.01171875,-22.314453,18.51654,-17.578125,0
0.315856934,0.6394278,0.76884896,-0.0018237391,-0.76883906,0.6394027,-0.007112395,-0.0043022544,0.0059500253,0.99997306,0.7975219,0.60328966,-6.5682014E-4,-0.6032825,0.79750603,-0.0058600428,-0.003011485,0.00506976,0.9999826,-0.13885498,-0.08618164,9.926346,-0.04219055,0.05834961,9.806351,0.008514404,-0.004272461,0.0053253174,-22.314453,18.51654,-17.578125,0
0.3203125,0.6394288,0.7688482,-0.0018257444,-0.7688382,0.6394036,-0.0071343095,-0.0043178136,0.0059655844,0.9999729,0.79475665,0.6069279,-6.851542E-4,-0.60692066,0.7947405,-0.0059014033,-0.0030372064,0.0051060133,0.99998236,-0.07661438,0.11491394,10.017334,-0.04234314,0.058502197,9.806351,0.004257202,0.0,0.004257202,-22.314453,18.51654,-17.578125,0
0.324737549,0.66689277,0.74515206,-0.0015981401,-0.7451414,0.66686785,-0.00718302,-0.004286694,0.005981144,0.9999729,0.7920135,0.6105032,-6.302099E-4,-0.6104956,0.7919975,-0.0059182364,-0.0031139778,0.0050720638,0.9999823,0.0143585205,0.0909729,10.041275,-0.042037964,0.058654785,9.806351,-0.011703491,0.011703491,-0.0021362305,-22.135925,19.770813,-18.788147,0
0.329193115,0.66688246,0.7451613,-0.0015762681,-0.74515057,0.6668576,-0.0071842168,-0.004302254,0.005965585,0.99997294,0.7897663,0.6134075,-6.803237E-4,-0.6134001,0.78975016,-0.0059227576,-0.0030957782,0.0050949045,0.99998224,-0.05744934,0.028717041,9.935928,-0.04219055,0.058502197,9.806351,0.0010681152,-0.009597778,0.0021209717,-22.135925,19.770813,-18.788147,0
0.333648682,0.66688126,0.74516225,-0.0015738427,-0.74515164,0.6668567,-0.007140274,-0.0042711357,0.005934467,0.99997324,0.78757936,0.6162129,-6.378535E-4,-0.6162052,0.7875634,-0.0059155775,-0.0031429054,0.0050520357,0.9999823,0.009567261,-0.02394104,10.012543,-0.041885376,0.05819702,9.806351,-0.013839722,0.0053253174,0.01171875,-22.135925,19.770813,-18.788147,0
0.338104248,0.6485149,0.7611999,-0.001750974,-0.7611897,0.6484899,-0.007143646,-0.004302254,0.005965585,0.99997294,0.78540343,0.6189838,-6.567263E-4,-0.61897594,0.7853871,-0.0059847133,-0.0031886564,0.0051069125,0.9999819,-0.10533142,0.12449646,9.955078,-0.04219055,0.058502197,9.806351,0.008514404,0.0053253174,0.003189087,-20.521545,17.440796,-18.615723,0
0.342529297,0.64850163,0.7612113,-0.0017256563,-0.7612012,0.64847696,-0.0071015027,-0.0042866957,0.005918908,0.99997336,0.7829931,0.6220302,-6.389334E-4,-0.6220223,0.78297687,-0.0059656985,-0.0032105744,0.0050685313,0.999982,-0.004776001,-0.0622406,9.883255,-0.042037964,0.058044434,9.806351,-0.012771606,0.0,0.015960693,-20.521545,17.440796,-18.615723,0
0.346984863,0.6485026,0.76121056,-0.0017274015,-0.76120037,0.64847773,-0.0071234386,-0.004302255,0.0059344666,0.9999732,0.78057265,0.6250647,-6.587829E-4,-0.6250567,0.7805564,-0.0059935194,-0.0032321205,0.0050901542,0.9999818,-0.08139038,0.10055542,9.888046,-0.04219055,0.05819702,9.806351,0.0010681152,0.0,-0.0010681152,-20.521545,17.440796,-18.615723,0
0.35144043,0.6444688,0.7646285,-0.0017650406,-0.7646185,0.6444439,-0.0071142055,-0.004302255,0.0059344666,0.9999732,0.7781893,0.6280294,-6.594062E-4,-0.6280214,0.778173,-0.0059827603,-0.0032442175,0.0050698407,0.9999819,-0.04309082,0.0622406,9.979019,-0.04219055,0.05819702,9.806351,-0.008514404,-0.0021362305,-0.0010681152,-21.59729,18.157959,-19.651794,0
0.355895996,0.6444496,0.76464486,-0.0017288462,-0.7646347,0.64442515,-0.0070631597,-0.0042866967,0.005873786,0.99997354,0.77574366,0.63104784,-7.093237E-4,-0.63104004,0.7757273,-0.0059805093,-0.0032237459,0.0050869538,0.9999819,-0.01914978,-0.09576416,10.012543,-0.042037964,0.05760193,9.806351,0.0,-0.009597778,-0.012786865,-21.59729,18.157959,-19.651794,0
0.360351562,0.6444549,0.7646404,-0.0017388248,-0.7646304,0.64443046,-0.0070512746,-0.0042711375,0.0058737863,0.9999736,0.7733676,0.63395745,-6.9718435E-4,-0.63394934,0.7733511,-0.006020462,-0.0032775486,0.0050980104,0.99998164,0.009567261,0.04309082,9.993393,-0.041885376,0.05760193,9.806351,-0.0010681152,0.007446289,-0.0010681152,-21.59729,18.157959,-19.651794,0
0.364776611,0.6725839,0.74001956,-0.0014406643,-0.74000865,0.67256016,-0.0070809927,-0.0042711385,0.005828665,0.9999739,0.7710316,0.6367964,-7.4427086E-4,-0.6367885,0.7710149,-0.006035434,-0.0032694987,0.0051274532,0.99998146,-0.05744934,-0.03829956,9.758759,-0.041885376,0.057159424,9.806351,0.003189087,-0.0063934326,0.0,-21.59729,19.592285,-18.960571,0
0.369232178,0.6725943,0.74000996,-0.0014624418,-0.7399991,0.6725704,-0.007100895,-0.004271138,0.0058582276,0.9999738,0.7692073,0.63899887,-7.793314E-4,-0.638991,0.76919043,-0.0060427235,-0.0032618393,0.0051460927,0.99998146,-0.04309082,0.12449646,10.036484,-0.041885376,0.05744934,9.806351,0.0010681152,-0.0063934326,-0.0010681152,-21.59729,19.592285,-18.960571,0
