Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz,mx,my,mz,nsax,nsay,nsaz,ax1,ay1,ayz,0.061554186,0.08783581,0.05899143
58,0.25604248,0,-0.002390915,-0.016451135,0.011594472,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.11158112,-0.045232113,0.1022704,0.008392573,-0.006624682,0.02692071,,,
59,0.26046753,0,-0.009675687,-0.020126838,0.007466129,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.04294337,-0.03282278,0.013077312,0.011942409,-0.004646224,0.0314621,,,
60,0.26486206,0,-0.012501334,-0.040899947,0.012378533,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.09232357,-0.093786605,0.06279363,0.014547286,-0.004062503,0.03480425,,,
61,0.2692871,0,0.006300199,0.005406471,0.00320099,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.002553519,0.12514699,0.005380027,0.015181003,-0.005104573,0.036742695,,,
62,0.27368164,0,0.004293105,0.036535397,-0.022068683,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.04650392,0.027918108,0.08671878,0.014539466,-0.006581187,0.037084974,,,
63,0.2781067,0,-0.03678161,-0.003709324,0.027847763,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.002790142,0.03652341,0.118460335,0.013390743,-0.007644707,0.035627875,,,
64,0.28253174,0,-4.57E-04,0.006622929,0.053691123,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.16687775,0.021470696,0.058578987,0.011363227,-0.008381309,0.0330308,,,
65,0.28692627,0,0.016714705,0.040181402,0.031619046,0,0,0,0,0,0,FALSE,FALSE,FALSE,-6.15E-04,-0.043930996,-0.013202496,0.008562946,-0.008918995,0.02961092,,,
66,0.29135132,0,0.005417222,-0.008484346,0.012841639,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.022442179,-0.025761638,0.084242195,0.005264054,-0.008750151,0.026047708,,,
67,0.29577637,0,0.036200825,0.051902886,0.005356126,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.03145452,-0.0739871,-0.01059828,0.002220737,-0.008285265,0.022754755,,,
68,0.3001709,0,0.033362743,-0.003870651,-0.040531155,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.061635736,-0.032334242,-0.025325347,1.56E-04,-0.007668342,0.019255687,,,
69,0.30459595,0,0.009043058,0.027480075,-0.00601173,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.03820828,-0.092530854,0.007795169,-0.001308887,-0.006657301,0.014521086,,,
70,0.309021,0,0.02740196,0.029584324,0.026313659,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.050816394,0.054999165,-0.03228345,-0.002338396,-0.004182539,0.00904127,,,
71,0.31341553,0,0.009191494,0.043824203,-0.009263292,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.004501499,0.04747501,-0.0825752,-0.002203824,7.47E-04,0.004005953,,,
72,0.31784058,0,0.001083201,0.06688096,-0.020282244,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.12612581,-0.06470597,0.057160776,-6.02E-04,0.007987648,1.62E-04,,,
73,0.32226563,0,-0.0637918,0.072348356,-0.002914051,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.002619477,4.26E-04,0.083983734,0.001831271,0.017042678,-0.002438715,,,
74,0.32666016,0,-0.00592755,0.025798798,0.037425596,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.006301101,0.0970143,0.018872552,0.004112209,0.027201682,-0.004095684,,,
75,0.3310852,0,0.013123074,0.028550256,0.02485572,0,0,0,0,0,0,FALSE,FALSE,FALSE,-7.68E-04,-0.04678098,0.010692804,0.005509961,0.037089106,-0.004691243,,,
