time,ax,ay,az,imid,cf
3.950164795,9.677353,-2.336731,1.6615753,2.0,0
3.954589844,9.591171,-2.6383972,1.7429657,2.0,0
3.958984375,9.701294,-2.5378418,1.5753784,2.0,0
3.963378906,9.725235,-2.6192474,1.613678,2.0,0
3.967803955,9.629471,-2.408554,1.7525482,2.0,0
3.972198486,9.610321,-1.9584503,1.929718,2.0,0
3.976623535,9.653412,-1.6998749,1.795639,2.0,0
3.981018067,9.7444,-1.5897369,1.9967499,2.0,0
3.985443115,9.7444,-1.5897369,1.9967499,2.0,0
3.989837647,9.634262,-1.2976532,1.9105682,2.0,0
3.994232178,9.495392,-2.8059998,2.1691437,2.0,0
3.998657227,9.519333,-2.7628937,2.1691437,2.0,0
4.003051758,9.318222,-3.155548,1.8722534,2.0,0
4.007476807,9.490601,-2.7820587,1.7238159,2.0,0
4.011871338,9.4379425,-2.8969727,1.5753784,2.0,0
4.016296387,9.332596,-2.6623383,1.6902924,2.0,0
4.020690918,9.504974,-2.5330505,1.929718,2.0,0
4.025115967,9.552856,-2.4133453,1.9249268,2.0,0
4.029510498,9.715668,-2.1452026,2.2553253,2.0,0
4.033905029,9.710876,-1.8148041,1.8866272,2.0,0
4.038330078,9.643829,-2.1691437,2.2505493,2.0,0
4.04272461,9.706085,-2.0111237,2.13562,2.0,0
4.047149658,9.686935,-1.9009857,2.0925293,2.0,0
4.05154419,9.686935,-1.9009857,2.0925293,2.0,0
4.055969238,9.639053,-1.7669067,1.9440765,2.0,0
4.06036377,9.500183,-2.0063324,1.9201355,2.0,0
4.064758301,9.591171,-1.7238159,1.8483124,2.0,0
4.06918335,9.682144,-1.8578949,1.8148041,2.0,0
4.073577881,9.524124,-1.5179138,1.7381897,2.0,0
4.07800293,9.62468,-1.5322876,1.6711426,2.0,0
4.082397461,9.500183,-1.7429657,1.632843,2.0,0
4.08682251,9.686935,-1.771698,1.7908478,2.0,0
4.091217041,9.730026,-0.9911957,1.6184692,2.0,0
4.09564209,9.730026,-0.9911957,1.6184692,2.0,0
4.100036621,9.62468,-0.92414856,1.5179138,2.0,0
4.104431153,9.619888,-0.885849,1.3455353,2.0,0
4.108856201,9.58638,-1.182724,1.3982086,2.0,0
4.113250733,9.648621,-0.79486084,1.4221497,2.0,0
4.117675781,9.648621,-0.79486084,1.4221497,2.0,0
4.122070313,9.696503,-0.96725464,1.6232605,2.0,0
4.126495361,9.715668,-0.49798584,1.4891815,2.0,0
4.130889893,9.797058,-0.59854126,1.6998749,2.0,0
4.135284424,9.639053,-0.8188019,1.8243713,2.0,0
4.139709473,9.715668,-0.5315094,1.7525482,2.0,0
4.144104004,9.821014,-0.26335144,1.7525482,2.0,0
4.148529053,9.758759,-0.48840332,1.7573395,2.0,0
4.152923584,9.710876,-0.3591156,1.7525482,2.0,0
4.157348633,9.567215,-0.09576416,1.6232605,2.0,0
4.161743164,9.725235,-0.05744934,1.4173584,2.0,0
4.166137695,9.749176,-0.05265808,1.3551178,2.0,0
4.170562744,9.854523,-0.2394104,1.3215942,2.0,0
4.174957276,9.667786,0.3543396,1.2641296,2.0,0
4.179382324,9.878464,0.33517456,1.316803,2.0,0
4.183776856,9.811432,0.33039856,1.4077759,2.0,0
4.188201904,9.777908,0.22984314,1.316803,2.0,0
4.192596436,9.725235,0.6224823,1.340744,2.0,0
4.197021485,9.888046,0.6512146,1.5418549,2.0,0
4.201416016,9.758759,0.20588684,1.632843,2.0,0
4.205810547,9.667786,0.16758728,1.8339539,2.0,0
4.210235596,9.715668,0.16279602,1.6663513,2.0,0
4.214630127,9.677353,-0.028717041,1.613678,2.0,0
4.219055176,9.60553,-0.004776001,1.6902924,2.0,0
4.223449707,9.667786,-0.2394104,1.7333984,2.0,0
4.227874756,9.701294,-0.004776001,2.0829468,2.0,0
4.232269287,9.667786,-0.44052124,1.9632416,2.0,0
4.236663819,9.548065,-0.23461914,1.8626862,2.0,0
4.241088867,9.5767975,-0.46446228,1.9632416,2.0,0
4.245483399,9.581589,-0.14364624,2.1452026,2.0,0
4.249908447,9.481033,-0.11491394,2.1499786,2.0,0
4.254302979,9.514557,-0.09576416,2.1499786,2.0,0
4.258728028,9.504974,-0.27772522,2.178711,2.0,0
4.263122559,9.706085,0.40222168,2.039856,2.0,0
4.267547608,9.562439,0.5650177,2.2792664,2.0,0
4.271942139,9.509766,0.3830719,1.9776001,2.0,0
4.27633667,9.5767975,0.6799469,2.1691437,2.0,0
4.280761719,9.686935,0.6895294,2.13562,2.0,0
4.28515625,9.548065,0.5746002,2.1260376,2.0,0
4.289581299,9.514557,1.1923065,2.1835022,2.0,0
4.29397583,9.662994,1.0582275,2.015915,2.0,0
4.298400879,9.40921,0.8427582,2.0015411,2.0,0
4.30279541,9.5767975,0.99598694,2.0925293,2.0,0
4.307189942,9.60553,0.75177,2.202652,2.0,0
4.31161499,9.538498,0.64642334,2.2074432,2.0,0
4.316009522,9.610321,0.8714752,2.0925293,2.0,0
4.32043457,9.562439,0.73262024,2.1452026,2.0,0
4.324829102,9.648621,0.6320648,2.0302734,2.0,0
4.329254151,9.787491,0.71347046,2.1260376,2.0,0
4.333648682,9.7444,0.6033325,1.795639,2.0,0
4.338043213,9.777908,0.5027771,1.8387451,2.0,0
4.342468262,9.595947,0.65600586,1.6807251,2.0,0
4.346862793,9.595947,0.65600586,1.6807251,2.0,0
4.351287842,9.509766,0.8571167,1.8004303,2.0,0
4.355682373,9.519333,0.48362732,1.7238159,2.0,0
4.360107422,9.548065,0.53630066,1.7381897,2.0,0
4.364501953,9.533707,0.90979004,1.6807251,2.0,0
4.368927002,9.600739,0.71824646,1.9393005,2.0,0
4.373321533,9.538498,1.0055542,1.7908478,2.0,0
4.377716065,9.706085,1.043869,1.8674622,2.0,0
4.382141113,9.519333,0.8666992,2.0542145,2.0,0
4.386535645,9.5767975,0.85232544,2.0542145,2.0,0
4.390960694,9.610321,1.3120117,1.9105682,2.0,0
4.395355225,9.591171,0.90979004,2.0302734,2.0,0
4.399780274,9.60553,1.2593384,2.221817,2.0,0
4.404174805,9.548065,1.0390778,1.9823914,2.0,0
4.408569336,9.5767975,1.1492157,1.905777,2.0,0
4.412994385,9.481033,1.019928,1.9249268,2.0,0
4.417388916,9.615112,1.2401886,1.9345093,2.0,0
4.421813965,9.643829,1.2976532,1.9201355,2.0,0
4.426208496,9.490601,1.1970978,1.7573395,2.0,0
4.430633545,9.595947,1.2737122,1.7860718,2.0,0
4.435028076,9.58638,1.1396332,1.8195801,2.0,0
4.439453125,9.634262,0.9768219,1.6807251,2.0,0
4.443847656,9.595947,0.8427582,1.7573395,2.0,0
4.448242188,9.662994,0.73262024,1.8866272,2.0,0
4.452667236,9.643829,0.8762665,1.795639,2.0,0
4.457061768,9.394836,0.88105774,1.7238159,2.0,0
4.461486817,9.672562,0.8140259,1.7190247,2.0,0
4.465881348,9.672562,0.8140259,1.7190247,2.0,0
4.470306397,9.485825,0.76135254,2.0542145,2.0,0
4.474700928,9.591171,0.75177,1.7429657,2.0,0
4.479095459,9.648621,0.83317566,1.8674622,2.0,0
4.483520508,9.634262,0.6224823,1.9680328,2.0,0
4.487915039,9.591171,0.59375,2.0350647,2.0,0
4.492340088,9.524124,0.8188019,2.1068878,2.0,0
4.496734619,9.509766,1.0869598,2.0494232,2.0,0
4.501159668,9.691727,1.0917511,1.9632416,2.0,0
4.505554199,9.62468,1.3598938,1.8291626,2.0,0
4.509948731,9.62468,1.6615753,1.8483124,2.0,0
4.514373779,9.643829,1.6280518,1.7046661,2.0,0
4.518768311,9.610321,1.474823,1.7908478,2.0,0
4.52319336,9.672562,1.3551178,1.6855164,2.0,0
4.527587891,9.662994,1.6184692,1.7429657,2.0,0
4.53201294,9.720444,1.4796143,1.5370636,2.0,0
4.536407471,9.667786,1.2928619,1.5801697,2.0,0
4.54083252,9.739609,1.0486603,1.5083466,2.0,0
4.545227051,9.619888,1.0582275,1.7286072,2.0,0
4.549621582,9.725235,0.9049988,1.632843,2.0,0
4.554046631,9.648621,0.50756836,1.7669067,2.0,0
4.558441162,9.610321,0.49319458,1.8531036,2.0,0
4.562866211,9.667786,0.3591156,1.9393005,2.0,0
