Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz
100,0.43945313,0,-0.19772446,-0.78305614,0.2059164,0.0,0.0,0.0,0.0,0.0,1.5955421
101,0.44415283,0,-0.19798762,-0.7854582,0.20596123,0.0,0.0,0.0,0.0,0.0,1.5955421
102,0.44885254,0,-0.12637937,-0.6837367,0.16817665,0.0,0.0,0.0,0.0,0.0,1.5955421
103,0.45358276,0,-0.12684858,-0.68716455,0.16811752,0.0,0.0,0.0,0.0,0.0,1.5955421
104,0.45828247,0,-0.2914484,-0.55422354,0.34735775,0.0,0.0,0.0,0.0,0.0,1.5955421
105,0.4630127,0,-0.21229768,-0.6300297,0.2903595,0.0,0.0,0.0,0.0,0.0,1.5955421
106,0.4677124,0,-0.33036214,-0.7860527,0.427248,0.0,0.0,0.0,0.0,0.0,1.5955421
107,0.47244263,0,-0.36330763,-0.6755606,0.46239853,0.0,0.0,0.0,0.0,0.0,1.5955421
108,0.47714233,0,-0.33590946,-0.713488,0.44908142,0.0,0.0,0.0,0.0,0.0,1.5955421
109,0.48187256,0,-0.4469331,-0.6928562,0.56404114,0.0,0.0,0.0,0.0,0.0,1.5955421
110,0.48657227,0,-0.3222941,-0.78004694,0.46379375,0.0,0.0,0.0,0.0,0.0,1.5955421
111,0.4913025,0,-0.4067735,-0.8382742,0.557991,0.0,0.0,0.0,0.0,0.0,1.5955421
112,0.4960022,0,-0.36262333,-0.7506824,0.52187824,0.0,0.0,0.0,0.0,0.0,1.5955421
113,0.5007324,0,-0.46938604,-0.9016361,0.65190125,0.0,0.0,0.0,0.0,0.0,1.5955421
114,0.5054321,0,-0.42803985,-0.8622639,0.6261158,0.0,0.0,0.0,0.0,0.0,1.5955421
115,0.51013184,0,-0.36244076,-0.90485775,0.5819502,0.0,0.0,0.0,0.0,0.0,1.5955421
116,0.5145569,0,-0.32908237,-0.9821222,0.5658264,0.0,0.0,0.0,0.0,0.0,1.5955421
117,0.5189514,0,-0.36938465,-0.7699541,0.59916306,0.0,0.0,0.0,0.0,0.0,1.5955421
118,0.52334595,0,-0.41240144,-0.79424286,0.65074253,0.0,0.0,0.0,0.0,0.0,1.5955421
119,0.5277405,0,-0.46404728,-0.9086604,0.71874523,0.0,0.0,0.0,0.0,0.0,1.5955421
120,0.532135,0,-0.408221,-0.9006413,0.675498,0.0,0.0,0.0,0.0,0.0,1.5955421
121,0.53652954,0,-0.38365206,-0.891474,0.66087055,0.0,0.0,0.0,0.0,0.0,1.5955421
122,0.5409241,0,-0.3632373,-0.8176733,0.6464157,0.0,0.0,0.0,0.0,0.0,1.5955421
123,0.5453186,0,-0.31943843,-0.8009912,0.6124706,0.0,0.0,0.0,0.0,0.0,1.5955421
124,0.54971313,0,-0.459861,-0.7184494,0.7491121,0.0,0.0,0.0,0.0,0.0,1.5955421
125,0.55410767,0,-0.37302434,-0.9439503,0.6881075,0.0,0.0,0.0,0.0,0.0,1.5955421
126,0.5585022,0,-0.38404632,-0.8977404,0.70121956,0.0,0.0,0.0,0.0,0.0,1.5955421
127,0.5628967,0,-0.4162059,-0.7961931,0.7303114,0.0,0.0,0.0,0.0,0.0,1.5955421
128,0.56729126,0,-0.61359394,-0.8564576,0.9312687,0.0,0.0,0.0,0.0,0.0,1.5955421
129,0.5716858,0,-0.494246,-0.8199452,0.8211851,0.0,0.0,0.0,0.0,0.0,1.5955421
130,0.5760803,0,-0.51818573,-0.9165275,0.8578377,0.0,0.0,0.0,0.0,0.0,1.5955421
131,0.58047485,0,-0.5413742,-0.8853201,0.88440514,0.0,0.0,0.0,0.0,0.0,1.5955421
132,0.5848694,0,-0.48419935,-0.7903238,0.8293114,0.0,0.0,0.0,0.0,0.0,1.5955421
133,0.5892639,0,-0.7071118,-0.9439187,1.0613585,0.0,0.0,0.0,0.0,0.0,1.5955421
134,0.59368896,0,-0.52969253,-0.8225006,0.88846684,0.0,0.0,0.0,0.0,0.0,1.5955421
135,0.5980835,0,-0.50304997,-0.87748516,0.876503,0.0,0.0,0.0,0.0,0.0,1.5955421
136,0.602478,0,-0.5876826,-0.714175,0.95201397,0.0,0.0,0.0,0.0,0.0,1.5955421
137,0.60687256,0,-0.5965855,-0.78796715,0.9696274,0.0,0.0,0.0,0.0,0.0,1.5955421
138,0.6112671,0,-0.6042315,-0.8694241,0.9883299,0.0,0.0,0.0,0.0,0.0,1.5955421
139,0.6156616,0,-0.5362332,-0.80707765,0.92220974,0.0,0.0,0.0,0.0,0.0,1.5955421
140,0.62005615,0,-0.547724,-0.6495999,0.92433834,0.0,0.0,0.0,0.0,0.0,1.5955421
141,0.6244507,0,-0.6237204,-0.8401931,1.0175018,0.0,0.0,0.0,0.0,0.0,1.5955421
142,0.6288452,0,-0.62405187,-0.8486153,1.0225725,0.0,0.0,0.0,0.0,0.0,1.5955421
143,0.63323975,0,-0.5923326,-0.8221998,0.9922848,0.0,0.0,0.0,0.0,0.0,1.5955421
144,0.6376343,0,-0.55823547,-0.82385087,0.964098,0.0,0.0,0.0,0.0,0.0,1.5955421
145,0.6420288,0,-0.61341923,-0.92854965,1.0310345,0.0,0.0,0.0,0.0,0.0,1.5955421
146,0.64642334,0,-0.6655247,-0.8823596,1.0818758,0.0,0.0,0.0,0.0,0.0,1.5955421
147,0.6508179,0,-0.4986143,-0.8142344,0.9188719,0.0,0.0,0.0,0.0,0.0,1.5955421
148,0.6552124,0,-0.5567803,-0.69170684,0.96852684,0.0,0.0,0.0,0.0,0.0,1.5955421
149,0.65960693,0,-0.47118345,-0.5984095,0.88203716,0.0,0.0,0.0,0.0,0.0,1.5955421
150,0.66400146,0,-0.6831206,-0.7813418,1.106595,0.0,0.0,0.0,0.0,0.0,1.5955421
151,0.6684265,0,-0.49345922,-0.71566635,0.91874695,0.0,0.0,0.0,0.0,0.0,1.5955421
152,0.67282104,0,-0.6069667,-1.0047091,1.0568781,0.0,0.0,0.0,0.0,0.0,1.5955421
153,0.6772156,0,-0.6628077,-0.8291191,1.0980024,0.0,0.0,0.0,0.0,0.0,1.5955421
154,0.6816101,0,-0.59441197,-0.6516614,1.0177746,0.0,0.0,0.0,0.0,0.0,1.5955421
155,0.68600464,0,-0.62950855,-0.87143767,1.0746365,0.0,0.0,0.0,0.0,0.0,1.5955421
156,0.69039917,0,-0.60597324,-0.5831619,1.0295229,0.0,0.0,0.0,0.0,0.0,1.5955421
157,0.6947937,0,-0.7770037,-0.5901885,1.1989803,0.0,0.0,0.0,0.0,0.0,1.5955421
158,0.69918823,0,-0.77700603,-0.5909196,1.1987619,0.0,0.0,0.0,0.0,0.0,1.5955421
159,0.70358276,0,-0.7569322,-0.69320923,1.1999435,0.0,0.0,0.0,0.0,0.0,1.5955421
