Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,Imid
84720.454028215,-0.12353736,-0.9923351,-0.0030722052,0.99228525,-0.12356244,0.01010418,-0.010406344,-0.0018002602,0.9999442,-0.114749715,-0.9933888,-0.003341412,0.9933388,-0.11477821,0.010188915,-0.010505076,-0.0021499796,0.9999425,0
84720.458361711,-0.1235338,-0.9923355,-0.0030995852,0.99228597,-0.12355914,0.010085101,-0.010390786,-0.0018298241,0.9999444,-0.11514994,-0.99334264,-0.0033076261,0.99329233,-0.11517812,0.010214529,-0.010527493,-0.002109237,0.99994236,0
84720.462725724,-0.17851005,-0.9839311,-0.0036930826,0.9838837,-0.1785384,0.009842919,-0.010344111,-0.0018765039,0.99994475,-0.11531779,-0.99332315,-0.0033034855,0.9932729,-0.11534592,0.010211898,-0.010524759,-0.0021036488,0.9999424,0
84720.467059221,-0.17850955,-0.98393124,-0.0036958551,0.9838836,-0.17853794,0.009858228,-0.010359669,-0.0018765036,0.99994457,-0.11660438,-0.99317306,-0.003271176,0.9931224,-0.116632156,0.010235752,-0.010547398,-0.0020551446,0.9999423,0
84720.471423234,-0.17851232,-0.98393077,-0.0036805724,0.9838831,-0.17854056,0.009860995,-0.010359669,-0.0018609439,0.99994457,-0.117847785,-0.99302626,-0.0032799984,0.9929757,-0.117875576,0.0102283405,-0.010543642,-0.0020515716,0.9999423,0
84720.47575673,-0.08424253,-0.9964416,-0.0026806819,0.99639136,-0.08426564,0.010169968,-0.01035967,-0.0018142649,0.9999447,-0.119048595,-0.99288297,-0.0032792198,0.99283177,-0.11907644,0.010292694,-0.010609918,-0.0020303829,0.99994165,0
84720.480120744,-0.08424459,-0.9964415,-0.0026693703,0.9963909,-0.08426764,0.010202149,-0.010390786,-0.0018002606,0.9999444,-0.11835376,-0.9929661,-0.003267131,0.9929149,-0.118381515,0.010290528,-0.010604913,-0.0020260604,0.99994177,0
84720.48445424,-0.084244825,-0.99644154,-0.002668062,0.9963911,-0.08426783,0.010186646,-0.010375229,-0.0018002609,0.99994457,-0.11772495,-0.9930409,-0.0032494501,0.9929894,-0.11775259,0.010316112,-0.010626952,-0.0020122058,0.9999415,0
84720.488818254,-0.06448224,-0.99791586,-0.0024180757,0.99786496,-0.06450373,0.010225005,-0.010359671,-0.001753582,0.99994475,-0.11772495,-0.9930409,-0.0032494501,0.9929894,-0.11775259,0.010316112,-0.010626952,-0.0020122058,0.9999415,0
84720.49315175,-0.06447903,-0.99791616,-0.002436581,0.99786484,-0.064500794,0.010270588,-0.010406345,-0.0017691408,0.99994427,-0.115665354,-0.9932832,-0.0031526128,0.9932309,-0.11569219,0.01037383,-0.010668885,-0.0019313798,0.99994123,0
