Time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GravX,GravY,GravZ,MagX,MagY,MagZ,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9
17652.182334412,-0.010635376,-0.012786865,0.0021362305,-0.16040039,0.07661438,9.98381,-0.0947113,0.08169556,9.80574,-7.7301025,30.194092,-11.071777,0.9680875,0.2505071,0.0072634504,-0.2504262,0.9680789,-0.01048426,-0.009657975,0.008330723,0.99991864
17652.181540955,-0.029800415,-0.010650635,0.01171875,-0.16040039,0.07661438,9.98381,-0.09440613,0.08035278,9.80574,-10.778809,30.732727,-9.516907,0.9430091,0.33270627,0.006352601,-0.33262762,0.9429949,-0.010929757,-0.00962687,0.00819381,0.9999201
17652.186759461,-0.029800415,-0.010650635,0.01171875,-0.10772705,0.0622406,9.830582,-0.09440613,0.08035278,9.80574,-10.778809,30.732727,-9.516907,0.9430091,0.33270627,0.006352601,-0.33262762,0.9429949,-0.010929757,-0.00962687,0.00819381,0.9999201
17652.191153992,-0.012756348,-0.01171875,0.0021362305,-0.20828247,0.14364624,9.864105,-0.094558716,0.08035278,9.80574,-10.778809,30.732727,-9.516907,0.9430076,0.3327103,0.006367228,-0.33263147,0.9429935,-0.010934958,-0.009642428,0.008193808,0.99991995
17652.195579041,-0.0053253174,-0.008529663,0.0021362305,-0.09815979,0.07661438,10.036484,-0.09501648,0.08049011,9.80574,-10.778809,30.732727,-9.516907,0.9430036,0.33272102,0.0064064637,-0.33264163,0.9429896,-0.010963758,-0.009689102,0.008207806,0.99991935
17652.195365418,-0.010635376,-0.009597778,-0.007446289,-0.09815979,0.07661438,10.036484,-0.09501648,0.08049011,9.80574,-9.344482,30.015564,-10.5529785,0.9540981,0.29941735,0.0067873425,-0.2993375,0.9540869,-0.0107321385,-0.009689102,0.008207806,0.99991935
17652.199973572,-0.010635376,-0.009597778,-0.007446289,-0.05505371,0.04309082,9.969452,-0.09501648,0.08049011,9.80574,-9.344482,30.015564,-10.5529785,0.9540981,0.29941735,0.0067873425,-0.2993375,0.9540869,-0.0107321385,-0.009689102,0.008207806,0.99991935
17652.204398621,0.009597778,0.0063934326,-0.0010528564,-0.11251831,0.12449646,9.8688965,-0.0947113,0.08035278,9.80574,-9.344482,30.015564,-10.5529785,0.95410085,0.29940924,0.006761934,-0.29932982,0.95408964,-0.010709409,-0.009657986,0.008193807,0.9999198
17652.208793152,0.0010681152,0.0,0.0,-0.01675415,0.0909729,9.844955,-0.09486389,0.08049011,9.80574,-9.344482,30.015564,-10.5529785,0.9540997,0.29941264,0.0067725494,-0.29933295,0.9540884,-0.010727448,-0.009673543,0.008207808,0.9999195
17652.209189881,-0.017028809,0.012771606,0.004272461,-0.01675415,0.0909729,9.844955,-0.094558716,0.08049011,9.80574,-10.0616455,29.2984,-10.899353,0.9450259,0.32693228,0.006429461,-0.3268533,0.94501215,-0.010909014,-0.009642427,0.008207811,0.99991983
17652.213218201,-0.017028809,0.012771606,0.004272461,-0.11251831,0.07182312,9.897629,-0.094558716,0.08049011,9.80574,-10.0616455,29.2984,-10.899353,0.9450259,0.32693228,0.006429461,-0.3268533,0.94501215,-0.010909014,-0.009642427,0.008207811,0.99991983
17652.217612732,0.010665894,-0.014923096,-0.004257202,-0.05505371,0.05744934,10.050858,-0.094558716,0.08049011,9.80574,-10.0616455,29.2984,-10.899353,0.9450259,0.32693228,0.006429461,-0.3268533,0.94501215,-0.010909014,-0.009642427,0.008207811,0.99991983
17652.222037781,-0.018081665,0.0095825195,0.0010681152,-0.02154541,0.10533142,9.854523,-0.09440613,0.08049011,9.80574,-10.0616455,29.2984,-10.899353,0.9450276,0.3269274,0.006414811,-0.32684857,0.9450137,-0.010903895,-0.009626868,0.008207811,0.99991995
17652.222526063,0.007461548,-0.0010681152,0.005340576,-0.02154541,0.10533142,9.854523,-0.09411621,0.08049011,9.80574,-8.805847,29.118347,-10.725403,0.9564703,0.29175106,0.006785443,-0.29167208,0.95645916,-0.010650555,-0.009597307,0.008207814,0.99992025
17652.22646283,0.007461548,-0.0010681152,0.005340576,-0.07899475,0.0335083,9.916779,-0.09411621,0.08049011,9.80574,-8.805847,29.118347,-10.725403,0.9564703,0.29175106,0.006785443,-0.29167208,0.95645916,-0.010650555,-0.009597307,0.008207814,0.99992025
17652.230857361,-0.017028809,0.007446289,0.0,0.011962891,0.1197052,9.883255,-0.09411621,0.08035278,9.80574,-8.805847,29.118347,-10.725403,0.95646983,0.2917524,0.006789513,-0.2916735,0.9564588,-0.010637172,-0.009597309,0.008193811,0.99992037
17652.23528241,0.008529663,-0.0032043457,0.004272461,-0.02154541,0.05265808,9.98381,-0.09365845,0.08049011,9.80574,-8.805847,29.118347,-10.725403,0.95647514,0.29173616,0.0067409608,-0.2916577,0.9564637,-0.010636838,-0.009550633,0.008207818,0.9999207
17652.235709656,-0.006378174,0.0063934326,0.0063934326,-0.02154541,0.05265808,9.98381,-0.09336853,0.08035278,9.80574,-9.881592,29.118347,-9.342957,0.9463152,0.32318264,0.006362339,-0.323105,0.9463011,-0.01083098,-0.009521073,0.008193817,0.9999211
17652.239676941,-0.006378174,0.0063934326,0.0063934326,-0.14604187,0.1771698,9.998184,-0.09336853,0.08035278,9.80574,-9.881592,29.118347,-9.342957,0.9463152,0.32318264,0.006362339,-0.323105,0.9463011,-0.01083098,-0.009521073,0.008193817,0.9999211
17652.24410199,0.009597778,-0.0010681152,-0.0053253174,-0.12689209,0.10533142,9.76355,-0.09365845,0.08079529,9.80574,-9.881592,29.118347,-9.342957,0.94631386,0.32318646,0.006375689,-0.3231082,0.9462995,-0.010883252,-0.00955063,0.008238935,0.9999204
17652.248496522,0.0063934326,0.015960693,0.009597778,-0.12210083,0.0335083,10.017334,-0.09365845,0.08079529,9.80574,-9.881592,29.118347,-9.342957,0.94631386,0.32318646,0.006375689,-0.3231082,0.9462995,-0.010883252,-0.00955063,0.008238935,0.9999204
17652.24889325,-0.0010528564,-0.0010681152,0.0063934326,-0.12210083,0.0335083,10.017334,-0.093811035,0.0806427,9.80574,-9.52301,30.194092,-11.418152,0.952949,0.30305868,0.0066244523,-0.3029801,0.95293653,-0.010735574,-0.00956619,0.008223375,0.9999204
17652.25292157,-0.0010528564,-0.0010681152,0.0063934326,-0.16998291,0.07182312,9.883255,-0.093811035,0.0806427,9.80574,-9.52301,30.194092,-11.418152,0.952949,0.30305868,0.0066244523,-0.3029801,0.95293653,-0.010735574,-0.00956619,0.008223375,0.9999204
17652.257316102,0.0010681152,0.01171875,-0.008514404,-0.03590393,0.0335083,9.777908,-0.09411621,0.0806427,9.80574,-9.52301,30.194092,-11.418152,0.95294553,0.30306876,0.006653994,-0.30298984,0.95293325,-0.01074507,-0.009597306,0.008223373,0.9999201
17652.26174115,-0.0021209717,0.0010681152,0.0063934326,-0.12210083,0.05744934,9.92157,-0.09396362,0.08049011,9.80574,-9.52301,30.194092,-11.418152,0.95294666,0.3030653,0.0066439207,-0.30298665,0.9529345,-0.010725506,-0.009581749,0.008207816,0.9999204
17652.262076844,-0.012756348,0.0010681152,-0.013839722,-0.12210083,0.05744934,9.92157,-0.09396362,0.08035278,9.80574,-9.52301,28.759766,-11.071777,0.9485422,0.3165843,0.006495178,-0.31650588,0.948529,-0.010805608,-0.00958175,0.008193812,0.9999205
17652.266135682,-0.012756348,0.0010681152,-0.013839722,-0.01675415,-0.01914978,9.859314,-0.09396362,0.08035278,9.80574,-9.52301,28.759766,-11.071777,0.9485422,0.3165843,0.006495178,-0.31650588,0.948529,-0.010805608,-0.00958175,0.008193812,0.9999205
17652.270560731,0.009597778,-0.010650635,0.0032043457,-0.08378601,0.0622406,10.055634,-0.09365845,0.08004761,9.80574,-9.52301,28.759766,-11.071777,0.94854456,0.31657752,0.006475588,-0.31649965,0.9485315,-0.010766198,-0.009550636,0.008162697,0.999921
17652.274955262,-0.0074310303,-0.0063934326,0.005340576,-0.002380371,0.05265808,9.888046,-0.09365845,0.07989502,9.80574,-9.52301,28.759766,-11.071777,0.9485439,0.3165792,0.006480494,-0.31650147,0.9485311,-0.010751452,-0.009550638,0.008147139,0.99992126
17652.275260438,-0.0053253174,-0.0010681152,-0.008514404,-0.002380371,0.05265808,9.888046,-0.09336853,0.07974243,9.80574,-9.164429,30.194092,-10.380554,0.9562284,0.2925442,0.006726004,-0.29246658,0.95621747,-0.010560986,-0.009521077,0.008131582,0.9999216
17652.279380311,-0.0053253174,-0.0010681152,-0.008514404,-0.09815979,0.05265808,9.94072,-0.09336853,0.07974243,9.80574,-9.164429,30.194092,-10.380554,0.9562284,0.2925442,0.006726004,-0.29246658,0.95621747,-0.010560986,-0.009521077,0.008131582,0.9999216
17652.283774842,-0.0010528564,0.0021209717,0.0138549805,0.011962891,0.15800476,9.988602,-0.09336853,0.07974243,9.80574,-9.164429,30.194092,-10.380554,0.9562284,0.2925442,0.006726004,-0.29246658,0.95621747,-0.010560986,-0.009521077,0.008131582,0.9999216
17652.288199891,-0.009567261,-0.0032043457,0.004272461,-0.002380371,-0.05744934,9.892838,-0.09291077,0.08004761,9.80574,-9.164429,30.194092,-10.380554,0.9562339,0.29252744,0.006672449,-0.2924501,0.9562224,-0.0105769755,-0.0094743995,0.008162703,0.99992186
17652.288444031,-0.0074310303,0.0095825195,0.0138549805,-0.002380371,-0.05744934,9.892838,-0.09262085,0.079452515,9.80574,-8.805847,29.476929,-10.725403,0.9574653,0.28847042,0.006706433,-0.28839377,0.9574545,-0.010481967,-0.009444843,0.008102026,0.9999226
17652.292594422,-0.0074310303,0.0095825195,0.0138549805,-0.13166809,0.05744934,9.969452,-0.09262085,0.079452515,9.80574,-8.805847,29.476929,-10.725403,0.9574653,0.28847042,0.006706433,-0.28839377,0.9574545,-0.010481967,-0.009444843,0.008102026,0.9999226
17652.297019471,0.004272461,0.0010681152,0.0032043457,-0.11251831,0.12449646,9.844955,-0.09277344,0.079452515,9.80574,-8.805847,29.476929,-10.725403,0.95746374,0.28847536,0.0067212773,-0.28839853,0.957453,-0.010486487,-0.009460402,0.008102025,0.9999224
17652.301414002,-0.0053253174,0.007446289,0.0,0.007171631,0.11012268,9.720444,-0.09277344,0.0796051,9.80574,-8.805847,29.476929,-10.725403,0.95746416,0.28847387,0.0067168046,-0.28839692,0.95745325,-0.010501374,-0.0094604,0.008117584,0.9999223
17652.301627625,-0.0010528564,-0.012786865,0.004272461,0.007171631,0.11012268,9.720444,-0.09246826,0.0796051,9.80574,-8.627319,28.93982,-10.5529785,0.95763046,0.28792214,0.006693054,-0.28784552,0.9576194,-0.010488546,-0.009429283,0.008117585,0.9999226
17652.305839051,-0.0010528564,-0.012786865,0.004272461,-0.20350647,0.0909729,9.94072,-0.09246826,0.0796051,9.80574,-8.627319,28.93982,-10.5529785,0.95763046,0.28792214,0.006693054,-0.28784552,0.9576194,-0.010488546,-0.009429283,0.008117585,0.9999226
17652.3102641,0.017044067,-0.0021362305,0.0010681152,-0.07899475,0.13406372,9.768341,-0.09277344,0.07974243,9.80574,-8.627319,28.93982,-10.5529785,0.95762765,0.28793067,0.0067187287,-0.28785366,0.9576167,-0.010510972,-0.009460399,0.008131587,0.9999222
