Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,Imid
15646.482721,-0.7236394,-0.18644972,-0.66451675,0.21659629,-0.9755275,0.037845865,-0.65531075,-0.11654511,0.7463144,-0.7496882,3.793301E-4,-0.661791,0.0757575,-0.993377,-0.08638879,-0.6574407,-0.1149003,0.7446943,0
15646.49264,-0.7211059,-0.1919447,-0.6657053,0.22070473,-0.9744407,0.04189129,-0.6567312,-0.116716266,0.745038,-0.7480662,-0.007273795,-0.6635843,0.08173832,-0.9933359,-0.08125623,-0.65857106,-0.115025304,0.74367553,0
15646.502693,-0.7172923,-0.20346718,-0.66640294,0.22927648,-0.9720757,0.05001066,-0.65796965,-0.11691825,0.74391264,-0.7464778,-0.014425298,-0.66525394,0.087340385,-0.9932394,-0.07646686,-0.65965337,-0.115184344,0.74269104,0
15646.512688,-0.713895,-0.21378776,-0.6668198,0.2368726,-0.9698468,0.05734563,-0.65897286,-0.11701258,0.74300927,-0.74485296,-0.021661991,-0.666877,0.092920184,-0.9931011,-0.07152643,-0.66072685,-0.11524301,0.7417271,0
15646.522718,-0.709488,-0.22891568,-0.66650164,0.24792594,-0.96638966,0.06799874,-0.65966624,-0.11699876,0.742396,-0.7434217,-0.029287461,-0.6681815,0.09867196,-0.99291146,-0.066261955,-0.6615044,-0.11519134,0.7410417,0
15646.533338,-0.7062832,-0.23923215,-0.6662822,0.2554236,-0.96388996,0.07533156,-0.66024446,-0.116978765,0.7418849,-0.7419852,-0.037612643,-0.66936034,0.1049411,-0.99263346,-0.06054911,-0.66215205,-0.11516995,0.7404664,0
15646.542691,-0.7030548,-0.24855213,-0.6662851,0.2621796,-0.96152544,0.08204079,-0.6610415,-0.11700722,0.74117035,-0.7405127,-0.046014156,-0.67046523,0.11126034,-0.9922801,-0.054784,-0.6627685,-0.115164444,0.7399156,0
15646.552685,-0.69836694,-0.2620295,-0.66605115,0.2719692,-0.95792764,0.09169117,-0.66205466,-0.11711131,0.740249,-0.7389267,-0.05407186,-0.67161256,0.11739048,-0.99186134,-0.049301025,-0.66348076,-0.11527078,0.7392604,0
15646.562777,-0.6929524,-0.27741477,-0.66547585,0.2830462,-0.95358294,0.10278428,-0.66310024,-0.117135786,0.7393087,-0.7371558,-0.06203347,-0.6728694,0.12336809,-0.9913959,-0.04375556,-0.6643656,-0.11526527,0.7384662,0
15646.572724,-0.6871392,-0.29429606,-0.664251,0.2950719,-0.9485284,0.11500574,-0.66390675,-0.11697688,0.7386096,-0.73544997,-0.07019858,-0.6739329,0.1293494,-0.99087286,-0.037944652,-0.66511816,-0.11507921,0.7378175,0
