Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
4750.639679359,0.57015914,0.82129383,0.019879922,-0.82087123,0.5705042,-0.026375607,-0.033003695,-0.0012805639,0.99945444,0.5761754,0.81707215,0.020371927,-0.81663185,0.5765343,-0.026844488,-0.033678997,-0.0011692303,0.999432,-0.31602478,-0.07421875,9.866501,0
4750.644104408,0.5701643,0.8212904,0.019871213,-0.8208682,0.5705091,-0.02636272,-0.032988153,-0.0012805646,0.999455,0.57606673,0.8171491,0.02035758,-0.8167102,0.5764251,-0.026806146,-0.03363924,-0.0011841146,0.99943334,-0.31123352,-0.02154541,9.943115,0
4750.648498939,0.5701985,0.8212679,0.01981446,-0.82084495,0.5705414,-0.026385052,-0.03297417,-0.0012198824,0.9994555,0.5759376,0.8172415,0.020303747,-0.8168032,0.57629424,-0.02678619,-0.033591717,-0.0011569915,0.999435,-0.27772522,0.14604187,9.890442,0
4750.652923988,0.56537837,0.82459867,0.019600634,-0.8241729,0.56571686,-0.026522253,-0.032958627,-0.0011592001,0.9994561,0.5758299,0.81731695,0.020318273,-0.8168789,0.5761871,-0.026782433,-0.033596866,-0.0011754433,0.99943477,-0.2681427,0.13166809,9.756363,0
4750.657349037,0.5653535,0.8246148,0.019645859,-0.8241895,0.56569344,-0.026510121,-0.03297417,-0.0012043227,0.9994555,0.57559294,0.81748384,0.020318499,-0.8170459,0.5759502,-0.026783057,-0.033597164,-0.0011850076,0.99943477,-0.3591156,-0.11251831,9.756363,0
4750.661743568,0.5653652,0.8246072,0.019624598,-0.8241819,0.5657044,-0.026505832,-0.032958623,-0.0011887634,0.999456,0.5754251,0.8176019,0.020325493,-0.81716406,0.57578266,-0.026781283,-0.033599496,-0.0011986411,0.99943465,-0.31602478,0.01675415,9.852127,0
4750.666168617,0.5922312,0.80550784,0.020476544,-0.8050937,0.59258395,-0.025852699,-0.032958623,-0.0011747597,0.999456,0.5752192,0.81774557,0.02037136,-0.81730574,0.5755786,-0.026845986,-0.03367851,-0.0012073023,0.999432,-0.31123352,0.011962891,9.809036,0
4750.670563148,0.5922113,0.8055215,0.020513924,-0.80510646,0.5925653,-0.025881188,-0.033003695,-0.0011887617,0.9994545,0.57555753,0.817506,0.020432202,-0.8170671,0.57591873,-0.026815003,-0.033688713,-0.0012609042,0.9994316,-0.4453125,-0.04069519,9.804245,0
4750.674988197,0.5922238,0.8055129,0.020490501,-0.8050973,0.59257704,-0.025898399,-0.033003695,-0.0011591982,0.9994545,0.57589525,0.8172663,0.02050764,-0.81682694,0.57625884,-0.026824648,-0.033740584,-0.0013030043,0.99942976,-0.32081604,0.08378601,9.876068,0
4750.679382728,0.5992238,0.8003149,0.020660521,-0.79990226,0.59957886,-0.02572307,-0.03297417,-0.0011125203,0.99945563,0.57623196,0.8170303,0.020450551,-0.8165913,0.5765934,-0.02680874,-0.033695206,-0.0012516907,0.9994314,-0.22505188,0.11251831,9.8138275,0
4750.683807777,0.5992318,0.8003095,0.020645501,-0.79989576,0.5995863,-0.025751794,-0.032988157,-0.0010829563,0.9994551,0.57670295,0.8166965,0.020505767,-0.8162563,0.577066,-0.026841523,-0.03375456,-0.0012583762,0.9994294,-0.37348938,0.05027771,9.761154,0
4750.688202308,0.59922534,0.80031395,0.020657754,-0.7999006,0.5995803,-0.025742624,-0.032988157,-0.001098516,0.9994551,0.577168,0.8163679,0.020504164,-0.8159267,0.57753074,-0.026865877,-0.033774227,-0.0012237703,0.9994287,-0.33996582,-0.04069519,9.694122,0
4750.692627357,0.5614171,0.82730436,0.019451108,-0.8268752,0.56175286,-0.026666658,-0.032988157,-0.0011125198,0.9994551,0.5776256,0.8160444,0.020500805,-0.81560373,0.577988,-0.026842134,-0.033753593,-0.0012158283,0.99942946,-0.32081604,-0.07421875,9.775513,0
4750.697052406,0.56144065,0.82728946,0.019406652,-0.82685983,0.5617749,-0.026679901,-0.03297417,-0.0010673972,0.99945563,0.5773061,0.81626886,0.020563524,-0.8158283,0.5776708,-0.02684386,-0.033790752,-0.0012791815,0.9994281,-0.27293396,0.12210083,9.871292,0
4750.701446937,0.5614452,0.82728654,0.019398056,-0.8268573,0.56177914,-0.026666947,-0.03295863,-0.0010673978,0.99945617,0.57700664,0.8164796,0.020599775,-0.81604,0.57737267,-0.026822928,-0.033794124,-0.0013332324,0.9994279,-0.27772522,-0.02154541,9.943115,0
4750.705871986,0.5702435,0.8212401,0.019672858,-0.8208149,0.57058173,-0.026445506,-0.032943085,-0.0010673983,0.9994567,0.576687,0.8167075,0.020520452,-0.8162671,0.5770505,-0.02684839,-0.03376862,-0.0012670535,0.9994289,-0.30645752,-0.011962891,9.856918,0
4750.710266517,0.57024115,0.8212417,0.019677753,-0.8208153,0.57057965,-0.026479963,-0.032974172,-0.0010518375,0.9994557,0.57654685,0.8168055,0.020557204,-0.8163649,0.57691175,-0.026856033,-0.033795845,-0.0012984186,0.9994279,-0.40701294,0.02154541,9.847351,0
4750.714691566,0.5702312,0.82124805,0.019698206,-0.8208217,0.57057035,-0.0264828,-0.03298816,-0.0010673967,0.9994552,0.57641304,0.81689996,0.020555627,-0.81645995,0.576778,-0.026837273,-0.033779398,-0.0013134934,0.99942845,-0.36390686,-0.04548645,9.890442,0
4750.719086097,0.575754,0.81738174,0.019859334,-0.8169584,0.5760954,-0.026325224,-0.03295863,-0.0010673978,0.99945617,0.57626474,0.8170056,0.020513358,-0.81656533,0.5766283,-0.02684798,-0.03376353,-0.0012789527,0.999429,-0.25856018,0.007171631,9.919174,0
4750.723511146,0.57576084,0.8173772,0.019846829,-0.81695354,0.57610184,-0.026334027,-0.03295863,-0.001051838,0.99945617,0.5762774,0.8169965,0.02052097,-0.8165545,0.5766413,-0.026901131,-0.033811368,-0.0012539768,0.99942744,-0.28729248,0.011962891,9.68454,0
4750.727936195,0.5757588,0.8173785,0.019850526,-0.8169556,0.57609993,-0.026312405,-0.032943085,-0.0010673983,0.9994567,0.57626593,0.81700474,0.020515172,-0.81656086,0.5766297,-0.026953883,-0.03385111,-0.0012192815,0.9994262,-0.3256073,-0.05505371,9.967056,0
4750.732330726,0.5694943,0.82175976,0.019674305,-0.82133496,0.56983304,-0.026445702,-0.032943085,-0.0010985178,0.9994567,0.5762649,0.8170052,0.02052217,-0.8165591,0.576629,-0.027023021,-0.033911627,-0.001185145,0.9994241,-0.30166626,-0.06942749,9.8138275,0
4750.736755775,0.5695265,0.8217389,0.019612785,-0.82131076,0.5698633,-0.02654317,-0.032988165,-9.911542E-4,0.99945533,0.57614064,0.8170923,0.020544784,-0.8166447,0.5765056,-0.027067836,-0.033961102,-0.0011829095,0.99942243,-0.2394104,0.011962891,9.876068,0
4750.741150306,0.5695476,0.82172537,0.019572444,-0.8212956,0.569883,-0.026590036,-0.033003706,-9.304708E-4,0.9994548,0.5759784,0.81720793,0.020495191,-0.81675655,0.5763419,-0.027180877,-0.034024667,-0.0010839823,0.9994204,-0.36869812,0.12689209,9.770737,0
4750.745575355,0.5941957,0.8040623,0.020379176,-0.8036426,0.5945444,-0.025996655,-0.033019252,-9.304704E-4,0.9994544,0.57584846,0.81729877,0.020524822,-0.8168455,0.57621306,-0.027237544,-0.034087885,-0.0010809121,0.99941826,-0.3256073,-0.011962891,9.627075,0
4750.749969886,0.59419394,0.80406344,0.020382386,-0.80364436,0.5945427,-0.025974948,-0.033003706,-9.4603054E-4,0.9994548,0.5762211,0.8170356,0.020542525,-0.8165821,0.5765861,-0.027241113,-0.034101497,-0.0010777534,0.9994178,-0.3256073,-0.05505371,9.871292,0
4750.754394935,0.5941973,0.8040611,0.02037618,-0.8036431,0.5945458,-0.025942802,-0.032974176,-9.6003525E-4,0.9994558,0.57659316,0.81677365,0.020521037,-0.81631833,0.57695735,-0.027287776,-0.034127697,-0.0010177529,0.99941695,-0.2106781,-0.04548645,9.770737,0
4750.758819984,0.61186254,0.79068625,0.020961244,-0.79027706,0.61222064,-0.025453486,-0.03295863,-9.91155E-4,0.99945617,0.57697463,0.816504,0.020528995,-0.81604666,0.5773389,-0.027343692,-0.034178425,-9.759997E-4,0.9994153,-0.30166626,-0.07899475,9.68454,0
4750.763214515,0.61188,0.79067373,0.020929115,-0.7902618,0.61223716,-0.025535347,-0.033003706,-9.149111E-4,0.9994548,0.5776495,0.81602585,0.020562893,-0.81556684,0.57801455,-0.027385162,-0.034232654,-9.5138635E-4,0.99941343,-0.20111084,0.026321411,9.986206,0
4750.767639564,0.6118384,0.7907037,0.021005804,-0.7902894,0.6121982,-0.02561166,-0.033110954,-9.3046756E-4,0.9994513,0.57832646,0.815546,0.020572044,-0.8150838,0.57869154,-0.027468178,-0.03430643,-8.8236463E-4,0.9994109,-0.27293396,-0.10772705,9.967056,0
4750.772034095,0.58241385,0.8126447,0.02006639,-0.8122184,0.58275867,-0.026335673,-0.03309541,-9.6003135E-4,0.99945176,0.57900774,0.81506085,0.020637508,-0.81459564,0.5793748,-0.027547,-0.034409333,-8.6129946E-4,0.9994075,-0.27293396,-0.09336853,9.809036,0
4750.776459144,0.58242315,0.8126385,0.020049466,-0.812213,0.58276737,-0.026311457,-0.033065874,-9.600322E-4,0.9994527,0.5791061,0.8149896,0.020688316,-0.8145228,0.5794749,-0.027593195,-0.03447653,-8.71717E-4,0.99940515,-0.27772522,-0.026321411,9.698898,0
4750.780853675,0.58235455,0.81268454,0.020174785,-0.8122585,0.582703,-0.026333258,-0.033156537,-0.0010518476,0.9994497,0.5792137,0.8149122,0.020727295,-0.814444,0.5795838,-0.027632685,-0.03453142,-8.759941E-4,0.99940324,-0.2681427,-0.05027771,9.737213,0
4750.785278724,0.55923396,0.8287795,0.019543802,-0.82834166,0.55957425,-0.026959054,-0.03327932,-0.0011125264,0.99944544,0.57928157,0.8148615,0.020823466,-0.81439245,0.579655,-0.027659217,-0.034608856,-9.359978E-4,0.9994005,-0.33996582,-0.05984497,9.679749,0
4750.789703773,0.55923396,0.8287795,0.019543802,-0.82834166,0.55957425,-0.026959054,-0.03327932,-0.0011125264,0.99944544,0.5788614,0.81515795,0.02090472,-0.8146871,0.5792379,-0.027720297,-0.03470523,-9.845967E-4,0.9993971,-0.31123352,-0.04069519,9.756363,0
4750.794098304,0.55922526,0.8287848,0.01956062,-0.828348,0.5595661,-0.026928958,-0.033263776,-0.0011436465,0.999446,0.57847935,0.8154302,0.020857634,-0.8149599,0.57885444,-0.02770857,-0.034667943,-9.692996E-4,0.9993984,-0.31123352,-0.06942749,9.607925,0
4750.798523353,0.57887256,0.8151688,0.020160116,-0.8147412,0.57922244,-0.026425833,-0.033218704,-0.0011280885,0.9994475,0.57810783,0.8156931,0.020883579,-0.81522125,0.57848406,-0.027758835,-0.03472351,-9.771379E-4,0.9993965,-0.20588684,0.007171631,9.775513,0
4750.802917884,0.5788613,0.81517625,0.020182207,-0.8147467,0.5792119,-0.026484512,-0.03327932,-0.0011125264,0.99944544,0.57811135,0.81569016,0.020899482,-0.8152178,0.5784881,-0.027774956,-0.034745865,-9.806125E-4,0.9993957,-0.45968628,0.03590393,9.876068,0
4750.807342933,0.578891,0.81515664,0.020123914,-0.8147281,0.5792396,-0.02645153,-0.033218704,-0.0010829649,0.9994475,0.578104,0.8156956,0.020889033,-0.8152223,0.5784805,-0.027800025,-0.03476026,-9.5789845E-4,0.9993952,-0.1771698,0.06942749,9.742004,0
