Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
7006.954663191,0.66671187,0.7439185,0.045614816,-0.74250364,0.66826266,-0.045971673,-0.06468185,-0.0032193107,0.9979007,0.6884224,0.72385544,0.045911334,-0.7225148,0.68994594,-0.04412373,-0.06361554,-0.0027958523,0.9979705,-0.11746216,0.033950806,0.05177307,0
7006.95908824,0.66671264,0.74391776,0.04561366,-0.74250156,0.6682635,-0.04599353,-0.064697355,-0.003203748,0.99789983,0.68801326,0.7242431,0.045931537,-0.72290295,0.68953884,-0.044130184,-0.063632555,-0.0028418954,0.9979693,-0.02633667,0.038589478,0.13796997,0
7006.963513289,0.6849021,0.72713244,0.04677069,-0.72575444,0.6864896,-0.04486004,-0.064726785,-0.0032193013,0.9978978,0.687581,0.7246492,0.04599985,-0.7233101,0.6891117,-0.044130802,-0.063678384,-0.0029286558,0.9979662,-0.083496094,-0.013916016,0.013458252,0
7006.967938337,0.6848954,0.72713816,0.046780292,-0.725758,0.6864837,-0.044893626,-0.06475777,-0.0032037352,0.99789584,0.6875364,0.7246919,0.04599202,-0.7233556,0.6890667,-0.04408905,-0.06364255,-0.0029557548,0.9979684,-0.08319092,0.033798218,0.24330139,0
7006.972363386,0.68489695,0.7271368,0.046778075,-0.7257525,0.6864853,-0.04495889,-0.06480373,-0.003157097,0.9978931,0.68750274,0.7247251,0.04597306,-0.72338784,0.68903184,-0.044104233,-0.06364035,-0.002934572,0.9979686,0.017807007,-0.062408447,-0.07736206,0
7006.976788435,0.6848818,0.72714967,0.046799812,-0.7257667,0.6864715,-0.044938453,-0.06480372,-0.003188216,0.9978929,0.68750274,0.7247251,0.04597306,-0.72338784,0.68903184,-0.044104233,-0.06364035,-0.002934572,0.9979686,0.017807007,-0.06210327,-0.07736206,0
7006.981213484,0.6848667,0.72716254,0.046821546,-0.7257811,0.6864579,-0.04491802,-0.06480372,-0.0032193356,0.9978929,0.6874008,0.72482663,0.04589688,-0.723482,0.6889256,-0.044218786,-0.063670486,-0.0028095432,0.997967,-0.020507813,-0.085739136,0.07107544,0
7006.985638533,0.6848454,0.72718066,0.046852257,-0.7257971,0.68643874,-0.04495307,-0.0648502,-0.003219326,0.99788994,0.68735164,0.7248754,0.045862563,-0.7235294,0.6888744,-0.04424071,-0.063662544,-0.002773987,0.9979676,-0.13975525,-0.013916016,0.11895752,0
7006.990063582,0.6812365,0.730572,0.046703123,-0.7291799,0.68282783,-0.045198027,-0.06491062,-0.003264436,0.9978858,0.6872974,0.7249238,0.045910127,-0.7235769,0.6888234,-0.04425867,-0.06370813,-0.0028006365,0.9979646,-0.15353394,-0.10923767,0.08544922,0
7006.99448863,0.68123007,0.7305775,0.04671335,-0.7291846,0.68282205,-0.04520973,-0.06492611,-0.0032644325,0.99788475,0.68720883,0.72500604,0.0459368,-0.72365886,0.68873674,-0.04426714,-0.0637323,-0.002821802,0.997963,-0.04324341,0.020050049,0.0184021,0
